"Eff. Area(sq.cm)(Wavelength(nm)), created by Plot Digitizer, 2.6.8",
"Date: 7/3/18, 5:21:56 PM",
,
,
,
Wavelength(nm),Eff. Area(sq.cm)
124.607,0.0119048
124.788,0.410714
124.968,1.34524
125.149,2.21429
125.51,4.10119
125.898,5.93452
126.44,8.60119
126.827,10.0714
130.053,10.0833
130.441,10.0655
131.318,10.0655
131.809,10.0179
132.454,10.0238
133.022,9.97619
133.693,9.96429
134.364,9.94048
134.958,9.94048
135.655,9.875
136.145,9.86905
136.455,9.91667
137.745,9.92857
139.449,9.95238
139.862,9.96429
143.76,8.64881
146.186,9.2619
147.606,9.68452
151.581,10.5476
153.981,11.0536
159.918,9.69048
163.532,9.75595
164.951,9.80952
169.985,8.80357
170.759,8.38095
171.43,8.0119
173.031,7.13095
174.708,6.2619
175.044,6.10714
