"System Throughput(Wavelength(um)), created by Plot Digitizer, 2.6.8",
"Date: 7/3/18, 5:00:11 PM",
,
,
,
Wavelength(nm),System Throughput
1386.49,0.00535714
1389.47,0.0122449
1392.08,0.0247449
1394.69,0.0515306
1397.29,0.11352
1399.53,0.220408
1402.13,0.314031
1404.74,0.363776
1407.35,0.374745
1409.95,0.374745
1415.54,0.375
1418.14,0.380357
1420.38,0.387245
1422.99,0.394388
1425.59,0.4
1428.57,0.403316
1433.78,0.401786
1443.47,0.401531
1446.82,0.4
1452.03,0.394388
1457.24,0.391071
1459.85,0.391071
1464.69,0.396173
1470.28,0.401531
1472.14,0.401531
1472.88,0.401276
1477.73,0.396173
1482.94,0.389031
1485.55,0.385714
1487.78,0.385459
1488.52,0.385714
1491.5,0.387245
1496.72,0.394643
1498.95,0.397959
1504.16,0.403316
1509,0.405102
1514.22,0.405357
1516.82,0.403061
1522.41,0.398214
1524.64,0.394643
1529.86,0.385714
1535.44,0.380102
1538.05,0.379847
1543.26,0.385459
1550.71,0.394388
1556.3,0.394388
1564.12,0.390561
1574.17,0.390561
1579.38,0.388775
1590.18,0.383163
1598,0.380357
1608.43,0.367602
1613.64,0.362245
1624.07,0.362245
1629.28,0.356633
1631.52,0.349745
1634.12,0.344133
1636.73,0.339031
1640.08,0.335459
1641.94,0.335714
1647.53,0.342602
1650.14,0.346429
1652.37,0.348214
1656.09,0.345408
1658.33,0.342347
1660.93,0.338776
1663.54,0.332143
1670.62,0.32449
1673.6,0.320663
1675.83,0.310204
1678.44,0.301531
1681.04,0.292857
1683.65,0.276786
1686.63,0.216071
1689.23,0.124745
1691.47,0.0545918
1694.08,0.0229592
1697.05,0.00867347
1699.66,0.00510204
