"System Throughput(Wavelength), created by Plot Digitizer, 2.6.8",
"Date: 7/3/18, 4:12:32 PM",
,
,
,
Wavelength(nm),System Throughput
303.778,0.00642857
304.786,0.0120918
305.793,0.0212755
306.801,0.0330612
307.809,0.0518878
308.816,0.0783673
309.824,0.104847
310.831,0.127347
311.839,0.1425
312.99,0.149694
313.854,0.155357
315.869,0.158878
319.899,0.172347
321.914,0.173571
324.073,0.172806
325.945,0.175561
328.104,0.175561
330.982,0.174643
334.149,0.177704
336.164,0.177857
339.043,0.173418
341.202,0.1725
344.081,0.1725
346.24,0.169133
351.277,0.158571
354.156,0.149847
357.179,0.139592
359.194,0.128112
360.202,0.122908
362.217,0.11648
363.224,0.109133
364.232,0.0906122
365.383,0.0638265
366.247,0.0375
367.254,0.0180612
368.262,0.00734694
