"Eff. Area(sq. cm)(Wavelength(nm)), created by Plot Digitizer, 2.6.8",
"Date: 7/3/18, 5:34:30 PM",
,
,
,
Wavelength(nm),Eff. Area(sq. cm)
170.493,0.054407
176.389,0.435256
178.171,0.598477
178.6,1.25136
179.2,1.63221
180.571,2.01306
183.382,2.91077
183.999,3.34603
184.479,4.46137
184.959,5.41349
185.027,5.63112
187.701,6.50163
188.249,6.50163
190.101,7.64418
191.54,8.65071
192.157,9.03156
192.432,9.03156
192.569,9.03156
194.42,9.54842
196.888,10.1469
198.396,10.555
199.836,10.9358
201.138,11.2894
201.824,11.4799
202.235,11.4799
204.086,10.9358
205.115,10.7454
206.555,10.5822
208.063,10.3373
209.434,10.1469
211.148,9.98368
212.588,9.79325
213.342,9.54842
215.604,8.84113
216.701,8.05223
217.044,7.45375
217.524,6.96409
218.004,6.39282
218.552,5.76714
219.032,5.22307
219.444,4.57019
219.924,4.02612
220.335,3.50925
220.952,2.93798
221.432,2.3395
221.912,1.76823
222.255,1.19695
222.94,0.598477
224.174,0.272035
228.082,0.0816104
