"Eff. Area(sq. cm)(Wavelength(nm)), created by Plot Digitizer, 2.6.8",
"Date: 7/3/18, 5:37:12 PM",
,
,
,
Wavelength(nm),Eff. Area(sq. cm)
264.624,0.0272035
266.063,0.0816104
266.955,0.408052
267.503,0.816104
268.052,1.49619
268.394,2.96518
268.806,5.87595
269.286,11.2078
269.766,16.1589
270.246,19.3689
270.725,21.0011
271.205,22.1436
271.7,22.6333
272.234,21.8444
272.714,20.4298
273.125,20.049
274.565,19.9946
275.525,19.5593
276.073,19.0424
276.896,18.5528
277.101,18.3079
278.404,19.0968
278.541,18.0903
279.09,14.9075
279.364,14.3634
279.844,12.2688
280.529,9.63003
280.872,6.2296
281.283,3.86289
281.832,2.52992
282.312,1.36017
282.929,0.816104
284.643,0.190424
287.248,0
